10SET.X,,xx
1INCH.X,,xx
AAVE.X,AAVE-USDC,cb
ACA.X,,xx
ACH.X,ACH-USD,cb
ADA.X,ADA-USD,cb
AERGO.X,AERGO-USDC,cb
AETHC.X,,xx
AGEUR.X,,xx
AGIX.X,,xx
AGLD.X,,xx
AIOZ.X,AIOZ-USD,cb
AKT.X,AKT-USDC,cb
ALBT.X,,xx
ALCX.X,,xx
ALEPH.X,,xx
ALGO.X,ALGO-USD,cb
ALICE.X,ALICE-USD,cb
ALPHA.X,,xx
ALUSD.X,,xx
AMP.X,AMP-USDC,cb
AMPL.X,,xx
ANC.X,,xx
ANKR.X,ANKR-USDC,cb
ANT.X,,xx
ANY.X,,xx
API3.X,API3-USDC,cb
AQT.X,,xx
AR.X,,xx
ARDR.X,,xx
ARK.X,,xx
ARPA.X,ARPA-USD,cb
ARRR.X,,xx
ASD.X,,xx
ASTR.X,,xx
ASTRO.X,,xx
ATA.X,,xx
ATLAS.X,,xx
ATOLO.X,,xx
ATOM.X,ATOM-USDC,cb
AUCTION.X,AUCTION-USD,cb
AUDIO.X,,xx
AURORA.X,,xx
AURY.X,,xx
AVA.X,,xx
AVAX.X,AVAX-USDC,cb
AXS.X,,xx
BABYDOGE.X,,xx
BADGER.X,BADGER-USD,cb
BAKE.X,,xx
BAL.X,,xx
BAND.X,,xx
BAT.X,BAT-USDC,cb
BCD.X,,xx
BCH.X,BCH-USDC,cb
BCT.X,,xx
BDX.X,,xx
BETA.X,,xx
BEZOGE.X,,xx
BFC.X,,xx
BICO.X,,xx
BIFI.X,,xx
BNB.X,,xx
BNT.X,,xx
BOBA.X,BOBA-USDC,cb
BOO.X,,xx
BSV.X,,xx
BSW.X,,xx
BTC.X,BTC-USDC,cb
BTCST.X,,xx
BTG.X,,xx
BTRFLY.X,,xx
BTSE.X,,xx
BTT.X,,xx
BTTOLD.X,,xx
BUSD.X,,xx
BZRX.X,,xx
BZZ.X,,xx
C20.X,,xx
C98.X,,xx
CAKE.X,,xx
CBAT.X,,xx
CDAI.X,,xx
CEL.X,,xx
CELO.X,,xx
CELR.X,,xx
CET.X,,xx
CETH.X,,xx
CFX.X,,xx
CHR.X,,xx
CHSB.X,,xx
CHZ.X,,xx
CKB.X,,xx
CLV.X,CLV-USDC,cb
COC.X,,xx
COMP.X,COMP-USDC,cb
CORE.X,,xx
COTI.X,COTI-USD,cb
COVAL.X,,xx
CQT.X,,xx
CRA.X,,xx
CRO.X,CRO-USDC,cb
CRTS.X,,xx
CRV.X,CRV-USDC,cb
CSPR.X,,xx
CTK.X,,xx
CTSI.X,,xx
CUBE.X,,xx
CUDOS.X,,xx
CUNI.X,,xx
CUSD.X,,xx
CUSDC.X,,xx
CUSDT.X,,xx
CVC.X,,xx
CVX.X,CVX-USDC,cb
CVXCRV.X,,xx
DAG.X,,xx
DAI.X,,xx
DAO.X,,xx
DASH.X,,xx
DAWN.X,,xx
DCR.X,,xx
DENT.X,,xx
DEP.X,,xx
DERO.X,,xx
DESO.X,,xx
DG.X,,xx
DGB.X,,xx
DIVI.X,,xx
DOCK.X,,xx
DODO.X,,xx
DOGE.X,DOGE-USDC,cb
DOT.X,DOT-USD,cb
DPI.X,,xx
DPX.X,,xx
DUSK.X,,xx
DVI.X,,xx
DYDX.X,,xx
EGLD.X,EGLD-USDC,cb
ELA.X,ELA-USD,cb
ELF.X,,xx
ELG.X,,xx
ELON.X,,xx
ENJ.X,,xx
ENS.X,ENS-USDC,cb
EOS.X,EOS-EUR,cb
EPS.X,,xx
ERG.X,,xx
ETC.X,ETC-USDC,cb
ETH.X,ETH-USD,cb
ETH2X-FLI.X,,xx
ETN.X,,xx
EURS.X,,xx
EURT.X,,xx
EVER.X,,xx
EWT.X,,xx
EXRD.X,,xx
FARM.X,,xx
FEG.X,,xx
FEI.X,,xx
FET.X,FET-USDC,cb
FIDA.X,FIDA-USDC,cb
FIL.X,FIL-USD,cb
FLEX.X,,xx
FLM.X,,xx
FLOW.X,,xx
FLUX.X,,xx
FOX.X,,xx
FRAX.X,,xx
FTM.X,,xx
FTT.X,,xx
FUN.X,,xx
FUSE.X,,xx
FX.X,FX-USD,cb
FXS.X,,xx
GALA.X,,xx
GAS.X,,xx
GF.X,,xx
GFARM2.X,,xx
GHST.X,,xx
GLM.X,,xx
GLMR.X,,xx
GMX.X,,xx
GNO.X,,xx
GNS.X,,xx
GRT.X,GRT-USD,cb
GT.X,,xx
GTC.X,,xx
GUSD.X,,xx
GXC.X,,xx
HBAR.X,HBAR-USDC,cb
HBTC.X,,xx
HEART.X,,xx
HERO.X,,xx
HEZ.X,,xx
HIVE.X,,xx
HNS.X,,xx
HNT.X,HNT-USDC,cb
HOO.X,,xx
HOT.X,,xx
HT.X,,xx
